customer_id,name,email,phone,address,registration_date,segment
1,Eric Richards,erica22@example.com,(648)713-7824,"129 Cardenas Cliff, New Tammyport, VI 71154",2025-02-06,new
2,Samantha Anderson,coxsharon@example.com,(427)605-0279,"46898 Hernandez Crossroad Suite 162, Tyronemouth, ID 16037",2024-06-24,regular
3,Raymond Thomas,williamsanthony@example.org,+1-335-967-7144x902,"792 George Underpass, Susanfurt, TN 09839",2024-05-05,vip
4,Michelle Jones,matthewskaren@example.com,517-653-3066x2889,"2103 Brad Motorway, North Joseph, NE 60332",2024-04-03,vip
5,Charles Porter,joycehunter@example.net,(817)669-3137,"26424 Spears Harbors, Lake Taylorchester, IA 66872",2025-04-22,new
6,Kevin George,christopher74@example.com,881-348-5350x64649,"01953 Kyle Gateway Apt. 700, Santosmouth, WY 91148",2025-05-22,new
7,Nicholas Hernandez,camerondave@example.org,900-585-6253,"50850 James Groves Suite 768, Erikashire, WY 95327",2025-05-14,vip
8,Shawn Leon,zbrady@example.net,344.384.6298x13997,"7710 Jacqueline Underpass Suite 413, East Robertport, RI 08847",2025-05-23,regular
9,Dr. Katherine Shelton,debracollier@example.net,6185892875,"601 Jesse Port Suite 523, North Heather, WI 57743",2025-04-09,new
10,Cody Monroe,gregory53@example.net,624-799-1045,"67071 Blair Mall Suite 293, Port Kayla, WI 32521",2024-05-02,regular
11,Valerie Medina,xkaiser@example.net,+1-237-534-8092,"8516 Matthew Burgs, West Madisonmouth, WI 26492",2025-03-12,regular
12,Brandi Morgan,sfletcher@example.org,999-269-1077x5881,"85279 James Lake, Davisville, MT 29449",2023-12-14,regular
13,Robert Holland,bsutton@example.org,+1-399-720-2433x791,"217 Velazquez Road, Welchburgh, CT 91772",2025-04-16,new
14,Andrea Lopez,jillhicks@example.org,458.672.9521x8086,"823 Parrish Divide Suite 565, Austinhaven, PR 13262",2024-02-09,vip
15,Lawrence Ingram,christina63@example.org,(906)404-2187,"2169 Mclaughlin Fords Apt. 148, East Joy, TN 43397",2025-04-09,new
16,Russell Cooper,kerrnatalie@example.com,(660)618-4098x471,"245 Ramos Green, North Samanthaview, DE 91288",2025-02-20,new
17,Courtney Parker,tammy77@example.net,(295)680-6486x40804,"4840 Sanders Park, Elizabethhaven, MI 64345",2025-07-31,new
18,Deborah Murphy,david34@example.net,001-315-543-4077x7389,"Unit 5592 Box 5283, DPO AA 63098",2025-05-30,regular
19,Shannon Fitzgerald,paula85@example.org,001-488-615-2783x22368,"78946 Riggs Road, Port Tiffanytown, WA 03148",2024-02-07,regular
20,Phillip Miller,emily81@example.net,3212925999,"3719 Tyrone Shores Suite 802, Nelsonfort, NE 71448",2024-07-07,vip
21,Jose Harrison,ycruz@example.com,(436)369-1927,"401 Cynthia Branch, Dyerside, AS 77948",2023-12-22,vip
22,James Smith,nlee@example.org,552.445.2093,"000 Scott Camp Apt. 584, Alvarezshire, SC 67048",2024-01-09,vip
23,Kristina Hill,gonzalezcharles@example.org,669.339.4287x3721,"18509 Hill Rapids Suite 331, Lake Aprilside, MS 59811",2025-10-16,vip
24,Jessica Harris,isullivan@example.net,296.638.5173,"927 Tracy Extensions Suite 196, South Raymond, SC 63985",2025-04-01,new
25,Vincent Dixon,jennifer19@example.com,+1-338-916-8640,"347 Samantha Expressway Apt. 262, North Davidstad, NJ 42308",2023-12-18,vip
26,Hailey Davis,durhamlogan@example.com,(883)341-1879,"0643 Leah Inlet Suite 348, Taylorton, NV 20291",2024-11-27,vip
27,Todd Fuller,nlong@example.org,+1-690-865-6569,"936 William Run Apt. 001, Brownshire, CA 35872",2024-03-24,vip
28,Benjamin Oneal,marissa52@example.net,5999876454,"USS Wilson, FPO AP 20812",2025-08-18,vip
29,Elizabeth Tucker,jaredgreen@example.net,231-366-2711x1466,"2284 Kenneth Locks Apt. 322, Billytown, AZ 17637",2024-09-05,vip
30,Omar Davis,mcdonaldjoseph@example.net,782.760.8652x066,"167 Johnson Junction, Port Jayberg, FM 40614",2025-08-21,new
31,Joshua Blankenship,brandttiffany@example.net,921-607-2750x16413,"74456 Stevenson Mills, East Jeffborough, AL 28736",2025-06-21,regular
32,Michael Henderson,jocelyntaylor@example.org,531.453.0800x2905,"6379 Chavez Roads, Lake Robert, AK 73725",2025-05-11,regular
33,Kevin Calderon,martinaaron@example.com,001-350-679-7968x0505,"6711 Lee Dale, Williamschester, WI 24070",2025-08-23,new
34,Sara Wong,kochstephen@example.com,(615)236-9583x7737,"92445 Stevens Rapids Apt. 964, Sullivanhaven, AR 39862",2025-04-29,new
35,Jessica Hall,christineherman@example.net,2829920990,"297 Hull Inlet Suite 277, Markberg, FM 89002",2024-04-20,new
36,Nicholas Mcdowell,ricepaige@example.com,+1-918-936-8389x32274,"80828 Jamie Meadow Suite 007, West Laurafort, IA 77526",2025-03-01,vip
37,Nicole Williams,heather13@example.net,+1-839-991-5364x61357,"51235 Caldwell Point Suite 864, Marialand, MO 53053",2025-08-17,new
38,Trevor Garza,robertdavis@example.net,(809)565-4001x5004,"6927 Day Stravenue, Martinmouth, UT 46564",2025-09-29,new
39,Andrea Hunter,lozanochristy@example.net,+1-646-292-4785,"77701 Brenda Extension, Christophermouth, IA 25172",2024-02-21,vip
40,Joshua Lloyd,walterstammy@example.org,751.497.8101x9996,"50974 Jeremy Mills, Susanside, NH 79621",2025-08-01,vip
41,Russell Thomas,keith25@example.net,947.420.5513x2114,"2462 Velazquez Villages Suite 897, Williammouth, PA 88746",2025-05-09,regular
42,Christopher Hester,dawn02@example.org,+1-810-268-0644x020,"USNV Henderson, FPO AA 39173",2024-04-04,new
43,Felicia Graham,prattmichael@example.net,799-501-7456x9674,"PSC 0354, Box 9501, APO AE 68757",2024-01-07,vip
44,Angela Richardson,janderson@example.net,6053470649,"012 Mary Groves Apt. 862, Lake Laura, RI 49630",2025-06-05,regular
45,Vanessa Thompson,grahamjesse@example.net,001-590-717-5652x0673,"48207 Brian Course Apt. 785, West Taraberg, SD 20677",2023-11-17,new
46,Billy Mata,karen07@example.net,001-553-585-9973,"094 Holder Prairie, Jamesfort, VT 55404",2024-01-11,vip
47,William Rose,kimberlygardner@example.org,897.221.7900x02801,"66883 Russell Flats, North Susan, MN 33128",2024-11-14,new
48,Mary Randall,melissa32@example.org,001-861-342-1485,"11578 Virginia Lodge Apt. 260, Caitlynmouth, AL 85245",2025-02-19,new
49,Richard Morris,umolina@example.com,824-494-2956x16208,"6191 Jenny Path Apt. 373, South Richard, KS 05999",2025-06-01,regular
50,Amanda Thompson,aaron96@example.org,206-964-3084x796,"614 Brandt Terrace Suite 436, Juliemouth, NV 45151",2024-07-15,vip
51,Amy Hunter,garciabilly@example.net,(447)552-9446,"527 Johnson Ferry Suite 780, Floresstad, VA 37357",2025-05-04,vip
52,Amanda Payne,yburns@example.com,276-471-5287x123,"Unit 6521 Box 8037, DPO AE 04994",2024-12-01,new
53,April Gill,torresjennifer@example.net,001-747-459-8431x92536,"98005 Ryan Center Apt. 543, Jocelynburgh, OH 81292",2024-11-02,regular
54,Hailey Hughes,velasquezryan@example.org,(475)526-2183x982,"79924 Michael Centers Apt. 898, South Sandra, MA 85218",2025-05-04,regular
55,Brandon Brown,danielle56@example.com,(420)647-2156x4237,"821 Robertson Parkway, West Emilyfort, MP 50180",2024-04-26,vip
56,Andrea Hoffman,brandon13@example.net,9194903587,"55389 Friedman Station, Stevenview, SC 60525",2025-08-23,regular
57,Ricky Vega,zhiggins@example.org,371.770.4888,"Unit 0220 Box 5320, DPO AE 64637",2024-06-26,regular
58,Michael Morgan,ejones@example.org,567-374-5159x34314,"5858 Boyd Lights Apt. 460, South Brittanyville, NJ 89465",2024-01-31,vip
59,Michael Jenkins,cynthia53@example.org,+1-979-203-8289x162,"9453 Galvan Forges Apt. 959, Anthonyland, DE 54683",2025-08-15,vip
60,Sara Fitzgerald,yucorey@example.com,(634)572-6224,"078 Hansen Wells, Jamiemouth, MS 30505",2025-03-03,new
61,Sarah Thomas,williamsbrittney@example.org,604-513-1529x2273,"2045 Jenkins Stream Apt. 252, Lake Christinatown, WV 99102",2024-01-27,vip
62,Ryan Herrera,kgolden@example.com,(624)204-2758,"0434 Erica Falls, Lake Paula, PW 82067",2023-12-10,vip
63,John Cruz,james55@example.org,370-896-4104,"9665 Perkins Way, Schwartzhaven, ID 55374",2025-04-10,new
64,Brittany Chaney,andrewortiz@example.net,650.569.2384x37046,"091 George Port Suite 217, West Robert, NH 85553",2023-11-26,vip
65,John Smith,marc93@example.net,233.501.3195x1143,"620 Mitchell Causeway, Lake Michael, LA 50625",2025-02-27,regular
66,Elizabeth Gomez,mweaver@example.net,358-673-3922,"5803 Barry Estate Apt. 633, West Jeffrey, FL 22950",2024-01-08,vip
67,Nicole Prince,yorkvictoria@example.org,857-789-4752x6227,"059 Donna Station Suite 646, New Sarahfurt, NM 04311",2024-03-24,vip
68,Larry Summers,danielclark@example.com,730-305-3497x6536,"9032 Nicole Center, Jonesberg, NJ 76142",2024-01-09,new
