order_id,customer_id,order_date,status,total_amount,payment_method,shipping_address
1,53,2025-06-30 18:19:38.375503,processing,955.62,paypal,"887 Berry Wall Apt. 435, Port Dawn, FL 82601"
2,624,2025-03-22 12:06:17.974203,delivered,8203.0,bank_transfer,"USNS Martin, FPO AP 33016"
3,526,2024-12-22 05:46:13.468467,shipped,6388.01,credit_card,"PSC 2856, Box 4787, APO AA 27533"
4,684,2025-09-27 18:14:40.753040,processing,1326.69,credit_card,"441 Scott Court Suite 912, East Williamtown, TN 48713"
5,903,2024-12-07 22:14:52.877232,delivered,304.86,paypal,"6310 Jacobs Drive Suite 680, Franklinside, NE 41929"
6,233,2025-08-09 09:13:51.427619,pending,4239.98,credit_card,"09933 Jennifer Bridge, South Triciaton, IN 36086"
7,869,2025-10-24 00:54:25.239684,pending,3408.76,bank_transfer,"60585 Gomez Vista, Lake Susanchester, VI 61589"
8,838,2025-01-21 20:30:16.298937,processing,2665.24,credit_card,"PSC 1321, Box 0101, APO AA 56260"
9,492,2025-03-16 12:43:05.353664,processing,899.88,credit_card,"36117 Smith Landing Suite 558, Barrettshire, MP 94867"
10,127,2025-07-16 00:06:08.474852,delivered,5457.6,bank_transfer,"6808 Mclaughlin Shores Suite 205, Allenbury, MO 15751"
11,610,2024-11-23 04:16:06.486364,delivered,3570.77,credit_card,"PSC 0962, Box 7533, APO AP 53034"
12,560,2025-08-29 14:50:26.472794,processing,4903.56,credit_card,"5001 Foster Cape, Jeremiahville, MT 86812"
13,164,2025-01-02 09:13:37.918929,cancelled,1030.22,credit_card,"5443 Brittany Curve Apt. 197, Taraville, VI 06289"
14,659,2025-09-26 23:23:19.924722,pending,6961.31,bank_transfer,"0391 Alyssa Falls, Ellenmouth, LA 98654"
15,56,2024-11-28 00:15:41.725580,delivered,3954.2,credit_card,"Unit 5276 Box 5804, DPO AE 02032"
16,615,2025-10-28 10:38:53.305180,pending,1379.06,paypal,"USS Patton, FPO AA 98324"
17,427,2024-12-20 05:11:42.387495,cancelled,5059.83,credit_card,"6764 Williams Tunnel Suite 791, Castanedatown, WA 59607"
18,166,2025-06-20 14:33:19.571713,delivered,2790.72,credit_card,"9482 Patterson Heights, Carlsonmouth, MS 12743"
19,32,2025-05-17 21:58:33.699632,pending,2901.55,paypal,"214 David Orchard, Lake Mark, MA 34224"
20,806,2025-05-12 14:06:29.292425,pending,814.6,paypal,"384 Wu Terrace Apt. 804, Port Cameronton, TX 98623"
21,800,2024-12-10 03:10:54.937991,pending,374.71,paypal,"99043 Jimmy Ramp, Debraton, NV 04594"
22,536,2025-04-15 13:18:32.700839,shipped,2030.71,credit_card,"1666 Ann Inlet, Tracyton, CA 01595"
23,970,2025-06-23 23:33:02.078932,shipped,1893.37,credit_card,"97898 Troy Junction Suite 456, Hendersonview, PR 08645"
24,376,2025-04-22 07:36:50.979639,shipped,3756.75,credit_card,"95180 Sexton Junction, Michaelport, MT 27594"
25,419,2025-06-20 11:10:42.818426,processing,633.55,bank_transfer,"483 Luis Park Suite 015, New Taylor, IL 07452"
26,368,2025-05-02 20:39:00.813185,processing,6968.92,credit_card,"522 Erickson Viaduct, North Jasminestad, NH 62031"
27,906,2025-04-16 08:37:03.025568,cancelled,849.66,paypal,"1515 Smith Pines, Allenborough, AS 45790"
28,338,2025-05-29 14:07:07.371716,cancelled,2323.99,bank_transfer,"4196 Stacey Ramp Apt. 184, Nelsonmouth, ID 43581"
29,856,2025-08-02 09:59:07.457304,shipped,2155.86,paypal,"9249 Christopher Villages, Maldonadoville, WV 83164"
30,183,2025-09-09 04:29:52.760795,processing,560.08,bank_transfer,"72638 Jeffrey Grove, Mariaview, CO 56728"
31,970,2025-05-01 07:05:58.790628,delivered,2117.36,credit_card,"54913 Brewer Row, Maxstad, PR 29698"
32,310,2025-10-08 11:06:05.783573,shipped,4781.35,credit_card,"125 Anderson Summit, Port Jennifermouth, VI 09177"
33,175,2025-07-30 08:33:32.750852,shipped,5730.99,paypal,"42650 Silva Inlet, East Kelsey, MN 82465"
34,633,2025-11-06 03:02:17.039619,pending,4225.56,credit_card,"649 Stacey Trafficway Suite 071, Jamesburgh, KY 36126"
35,406,2025-09-06 09:28:50.147521,shipped,1564.57,credit_card,"2076 Griffin View, Petersonburgh, OR 06673"
36,183,2025-10-03 08:54:29.184676,delivered,3328.61,bank_transfer,"01658 Miller Glen Apt. 222, East Michael, ND 59237"
37,884,2025-07-06 16:28:50.270855,delivered,2475.24,paypal,"95947 Morrison Mount, Raymouth, AR 33755"
38,78,2025-10-06 02:11:08.341413,cancelled,1396.02,paypal,"11397 Gutierrez Parkways Apt. 159, Mccoychester, MA 13929"
39,828,2025-03-03 19:59:14.128826,pending,2847.6,paypal,"0962 Rachel River Apt. 987, New Jason, WI 32239"
40,947,2024-11-26 06:10:30.613112,pending,322.99,paypal,"4686 Summers River Suite 604, Thomasbury, OR 79160"
41,654,2025-07-19 00:46:14.787741,cancelled,1942.75,bank_transfer,"16139 Jackson Isle Apt. 506, New Toddburgh, NV 46249"
42,530,2025-08-06 19:12:05.041643,shipped,5713.94,paypal,"10627 Tate Common Apt. 223, Stewartbury, IL 93296"
43,592,2025-03-31 09:32:53.470590,processing,4275.71,paypal,"852 Ryan Stream, Elizabethbury, WY 61407"
44,150,2025-06-04 00:56:53.007526,processing,1763.17,paypal,"28718 Wright Ridges, Port Deannaville, PR 95775"
45,273,2024-12-15 14:07:05.188183,shipped,2104.11,bank_transfer,"793 Medina Isle, Veronicaton, OK 41723"
46,482,2024-12-24 09:45:41.562358,delivered,548.2,paypal,"156 Howard Rue, Lake Jessicahaven, VA 38597"
47,483,2025-08-01 22:30:14.127033,cancelled,484.23,bank_transfer,"217 Ellison Fords, New Cindy, MT 96771"
48,955,2025-06-05 09:45:34.317752,delivered,1220.25,credit_card,"07385 Christopher Corner, Catherineshire, MI 41146"
49,163,2025-08-23 21:47:09.986877,shipped,2943.52,paypal,"03579 Arnold Throughway Suite 253, Morenoview, MA 69286"
50,32,2025-05-27 06:51:40.775277,delivered,963.91,paypal,"07719 Kyle Dale Apt. 741, Lake Shannon, OH 17283"
51,927,2025-10-15 06:09:55.128364,processing,1201.5,credit_card,"USCGC Beard, FPO AE 78481"
52,93,2025-02-01 01:29:43.710383,delivered,1699.5,bank_transfer,"2020 April Forest, Jenniferview, WV 99598"
53,312,2025-02-02 18:12:37.730642,shipped,2490.21,paypal,"256 Lisa Meadows, Benjaminland, HI 59943"
54,528,2024-12-23 22:37:28.363221,processing,1417.95,credit_card,"05276 Lucas Forges, Robinmouth, IA 57669"
55,171,2025-08-31 15:11:01.893230,processing,2809.56,bank_transfer,"7680 Brown Circle, Lake Andrewstad, IN 82710"
56,430,2025-11-06 18:40:23.666835,cancelled,87.14,credit_card,"97443 Carolyn Manor Suite 673, Lake Bethview, CA 78831"
57,606,2025-02-10 16:05:47.669120,delivered,4038.3,bank_transfer,"71960 Kimberly Burg Apt. 046, Port Matthew, ND 87501"
58,686,2025-06-05 22:11:52.498503,delivered,3305.7,credit_card,"7023 Megan Way Apt. 755, Jonfort, CO 60627"
59,773,2025-05-23 23:33:17.265477,pending,2819.01,bank_transfer,"83160 Moore Plains Apt. 594, West Jamesburgh, AR 41515"
60,724,2025-02-05 00:12:18.941923,pending,8572.52,paypal,"387 Marshall Course, North Matthew, RI 26628"
61,384,2025-07-14 09:19:39.187856,shipped,4576.82,paypal,"2390 Matthew Camp Suite 743, North Robert, AR 11178"
62,362,2024-11-18 11:22:35.992765,processing,6076.99,paypal,"Unit 4369 Box 0023, DPO AA 74121"
63,376,2025-03-21 11:20:09.026093,delivered,2707.56,bank_transfer,"508 Heather Turnpike Apt. 442, South Sheliaville, ID 32553"
64,308,2025-08-28 06:05:30.002814,shipped,5511.63,paypal,"014 Michelle Village, New Daniel, ND 40671"
65,958,2025-01-01 15:15:58.452935,cancelled,4797.36,credit_card,"PSC 2131, Box 7529, APO AA 97459"
66,613,2025-08-17 06:01:04.038360,processing,1591.32,credit_card,"781 Brooke Forks Suite 854, Lake Thomasville, IL 97875"
67,148,2025-08-30 03:58:39.792039,cancelled,1322.14,paypal,"8043 Carlos Summit, Carpenterburgh, OH 08452"
68,198,2025-10-24 19:35:33.354897,cancelled,3232.5,credit_card,"3438 Arias Circles, East Danielle, PA 94952"
69,702,2025-01-27 13:21:41.726486,shipped,3420.76,paypal,"93134 Tom Loop Suite 055, Lake Joshuafurt, VA 92584"
70,406,2025-08-21 18:56:31.320307,cancelled,3677.82,bank_transfer,"59153 Rhodes Ferry Apt. 526, Lake Davidside, AS 86416"
71,78,2025-08-09 23:40:36.089321,processing,490.16,bank_transfer,"369 Mary Crossroad, East Michelleshire, NH 68779"
72,693,2025-01-19 09:39:11.437751,delivered,12.57,paypal,"256 Stevenson Harbors Apt. 857, West Sabrinaton, IL 85179"
73,713,2025-05-03 02:45:45.206861,pending,933.29,bank_transfer,"029 Alejandra Burg, Loveview, OH 57436"
74,524,2025-07-16 06:52:05.334357,shipped,657.31,credit_card,"17502 Jackson Garden Apt. 482, West Richard, ID 88091"
75,692,2025-01-30 10:07:40.957883,cancelled,751.02,paypal,"4835 Jones Rue Apt. 041, Port Evan, WA 02227"
